authorDisplayName;textDisplay;clean_comment;;
@soundtubefree8075;Terimakasih Koh Will <br>PBSA bagi lagi Dividen Rp.40 <br>Yield 12% 😊;terimakasih koh brpbsa bagi lagi dividen rp bryield;;
@kelfincr31;Bang bahas kkgi bang;bang bahas kkgi bang;;
@kanalsenisederhana;Yg tdk pernah lelah menyuarakan pentingnya dividen di bursa saham. Semoga rejeki ko wil selalu lancar dan berkah ya.;yg tdk pernah lelah menyuarakan pentingnya dividen di bursa saham semoga rejeki ko wil selalu lancar dan berkah ya;;
@fadilardiansyah1225;Kkgi anjlok bgt bang q3 nya;kkgi anjlok bgt bang q nya;;
@hendrosuprayitno9614;bang tolong diinfo bagusan mana adro dan PT BA;bang tolong diinfo bagusan mana adro dan pt ba;;
@jambujaya2131;PTBA aja boss....;ptba aja boss;;
@rosalynmagdalena3791;Aku punya dua2nya...;aku punya duanya;;
@rezasaefullah9681;Masuk dua duanya😂;masuk dua duanya;;
@Firda2010;Sama aja, bedanya dividen ADRO 2x setahun, PTBA 1x setahun;sama aja bedanya dividen adro x setahun ptba x setahun;;
@ExGamer-f41z41;dividen PTBA selalu 100% jon;dividen ptba selalu jon;;
@harihandikasetiawan8586;Saham andalan ku;saham andalan ku;;
@ferripradana4265;Merah banget koh 😂😂😂😂, wkwkwk;merah banget koh wkwkwk;;
@mukmin44;Kalo sampai roboh ke 2000 ,kan artinya bwanyakk banget yang jualan..<br>Kira2 apa alasan mereka pada jualan?;kalo sampai roboh ke kan artinya bwanyakk banget yang jualanbrkira apa alasan mereka pada jualan;;
@nanihonipa;Biasanya fomo atau takut sama fear2 yg di tebar;biasanya fomo atau takut sama fear yg di tebar;;
@mutiaa.r9803;coal merah merona. serok nanggung nanggung gara2 fomo?;coal merah merona serok nanggung nanggung gara fomo;;
@satria2177;2.690  masih aman ga puh sepuh heheh;masih aman ga puh sepuh heheh;;
@SarahVirtyTami-uh2mw;Semoga terjun 2000;semoga terjun;;
@jordanmartino8719;Jon q3 adro jangan lupa;jon q adro jangan lupa;;
@kiyahbrebes1666;Bener mase kalau nyangkut di emin aja hepiii debiden 🎉🎉🎉🎉;bener mase kalau nyangkut di emin aja hepiii debiden;;
@deesdiary2689;kak tlg bahas TINS, AKPI, SMDR n SSMS dong;kak tlg bahas tins akpi smdr n ssms dong;;
@trukmobilvideobis;Cocok, SMDR ane juga bertanya tanya, lagi nyerok dikit dikit SMDR, PBV nya kecil;cocok smdr ane juga bertanya tanya lagi nyerok dikit dikit smdr pbv nya kecil;;
@hokinoob;ADRO &amp;;;
@jambujaya2131;PTBA best of de best....;ptba best de best;;
@abeelinot;Kami avarsge 2800;kami avarsge;;
@mandalaputra9646;Tolong bahas maha bang;tolong bahas maha bang;;
@nawwafyusuf;Perusahan yg bagi dividen tetap bagi dividen, jdi tenang aja guys;perusahan yg bagi dividen tetap bagi dividen jdi tenang aja guys;;
@arissaeroji1923;Bahas Bssr Jon, Terimakasih;bahas bssr jon terimakasih;;
@ridwankurniadi28;Habis bagi dividen aja serok PTBA pasti roboh 1500-2000;habis bagi dividen aja serok ptba pasti roboh;;
@fitriadiansyah6205;Gak saampe ..ex date kmrn aja 2.690. Enak serok sekarang. Nanti dapet deviden buat tambah muatan;gak saampe ex date kmrn aja enak serok sekarang nanti dapet deviden buat tambah muatan;;
@ridwankurniadi28;@@fitriadiansyah6205 tahun kemarin kan labanya tinggi, tahun ini ga gede tahun lalu jd hrga nya jg makin murah;fitriadiansyah tahun kemarin kan labanya tinggi tahun ini ga gede tahun lalu jd hrga nya jg makin murah;;
@adimfauzul;"Bang will saya mau tanya , bang will kan biasanya kasih harga wajar eps kali 10-20 kalau harga makin turun dr level yg telah di tentukan apakah bang will akan cutloss? <a href=""http://www.youtube.com/results?search_query=%23pernahkah"">#pernahkah</a> bang will cut loss? disaat situasi dan valuasi bagaimana bang will cutloss tsb?, tolong buatkan video nya bang <a href=""http://www.youtube.com/results?search_query=%23makasih"">#makasih</a> banyak";bang saya mau tanya bang kan biasanya kasih harga wajar eps kali kalau harga makin turun dr level yg telah di tentukan apakah bang akan cutloss hrefhttpwwwyoutubecomresultssearchquerypernahkahpernahkaha bang cut loss disaat situasi dan valuasi bagaimana bang cutloss tsb tolong buatkan video nya bang hrefhttpwwwyoutubecomresultssearchquerymakasihmakasiha banyak;;
@ignasiusadinugroho6302;Kok CL yg ada serok lah kl harga diskon kaya gitu. <br>Apalagi PTBA dgn harga segini bisa ngasih 25-30%;kok cl yg ada serok lah kl harga diskon kaya gitu brapalagi ptba dgn harga segini bisa ngasih;;
@SarahVirtyTami-uh2mw;@@ignasiusadinugroho6302 karena bakalan ke 2300;ignasiusadinugroho karena bakalan ke;;
@sucilestari470;Saham ny turun yg penting kan perushaaan ttep jualan batubara ny.. 😅 devident ttep di kasih;saham ny turun yg penting kan perushaaan ttep jualan batubara ny devident ttep di kasih;;
@mrtrololo4252;Selagi pln masih monopoli kelistrikan nasional, selama itu juga &quot;;;
@rahmatbudiarto3401;Lumayan.. Tadi jam&quot;;;
